District,D Positive Tweet,D Negative Tweet,R Positive Tweet,R Negative Tweet,Raw PVI,2020 Biden %,2020 Trump %,2016 Clinton %,2016 Trump %,D Popularity,R Popularity,Winners
IL03,0.7816091954022989,0.2183908045977011,0.7555555555555555,0.2444444444444444,19.81,0.6970000000000001,0.28300000000000003,0.691,0.24600000000000002,18100,593,D
IL04,0.6956521739130435,0.3043478260869565,0.8571428571428571,0.1428571428571428,22.46,0.722,0.259,0.7240000000000001,0.217,22200,90,D
IL05,0.7653061224489796,0.2346938775510204,0.6825396825396826,0.3174603174603174,18.34,0.69,0.292,0.655,0.273,87700,39600,D
IL06,0.6538461538461539,0.3461538461538461,0.6116504854368932,0.3883495145631068,3.28,0.545,0.436,0.507,0.424,23000,5650,D
IL07,0.6382978723404256,0.3617021276595745,0.0,0.0,35.72,0.856,0.128,0.858,0.098,1940000,0,D
IL08,0.7768595041322314,0.2231404958677686,0.672,0.328,6.0,0.568,0.414,0.546,0.389,17100,2930,D
IL09,0.6708860759493671,0.3291139240506329,0.6,0.4,19.44,0.6990000000000001,0.285,0.682,0.258,1910,65900,D
IL10,0.7238095238095238,0.2761904761904762,0.8214285714285714,0.1785714285714285,10.98,0.62,0.361,0.5770000000000001,0.349,114000,18700,D
IL11,0.8058252427184466,0.1941747572815534,0.8152866242038217,0.1847133757961783,5.3,0.5660000000000001,0.413,0.517,0.41100000000000003,4530000,2370,D
IL12,0.8985507246376812,0.1014492753623188,0.7142857142857143,0.2857142857142857,-23.96,0.27699999999999997,0.705,0.26,0.685,3920,24100,R
IL13,0.864406779661017,0.135593220338983,0.7207207207207207,0.2792792792792792,3.44,0.544,0.43200000000000005,0.506,0.423,4170,3200,D
IL14,0.75,0.25,0.79,0.21,3.56,0.547,0.433,0.507,0.42100000000000004,105000,1570,D
IL15,0.79,0.21,0.6875,0.3125,-21.95,0.29600000000000004,0.684,0.27699999999999997,0.66,3270000,2890000,R
IL16,1.0,0.0,0.7431192660550459,0.2568807339449541,-13.46,0.381,0.596,0.34299999999999997,0.58,126,5140,R
IL17,0.5597014925373134,0.4402985074626865,0.9798994974874372,0.0201005025125628,1.91,0.527,0.449,0.496,0.429,51900,23100,D
